source,target
DDR Ratio,DDR Ratio
EC,EC
ECS,ECS
ECCP,ECCP
ECN,ECN
Emergency stop,Emergency stop
Alignment mark,Alignment mark
ALP,ALP
STB,STB
STK,STK
Route,Route(Process flow)
Scrap,報廢
Sorter,排序機台
Split,分帳
DP,DP
SGP,SGP
ETP,ETP
Cloud Run,Cloud Run
Cloud Function,Cloud Function
BigQuery,BigQuery
Pub/Sub,Pub/Sub
Cloud SQL,Cloud SQL
Artifact Registry,Artifact Registry
Cloud Storage,Cloud Storage
GKE,GKE
Vertex AI,Vertex AI
Nachtschicht,大夜
Nachmittagsschicht,小夜
Tagschicht,日班
Maske,遮罩
IT,IT
